# Species,CO2_sd,GHG_sd,CH4_lifetime_sd,O3_sd,O3_prime_sd,Strat_H2O_sd,Aerosol_sd,Cloud_sd,Total_sd
            CO2,    0.210,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.210
            CH4,    0.002,    0.067,    0.091,    0.029,    0.022,    0.050,    0.005,    0.093,    0.196
            N2O,    0.000,    0.027,    0.025,    0.012,    0.003,    0.000,    0.004,    0.042,    0.058
             HC,    0.000,    0.056,    0.029,    0.060,    0.004,    0.000,    0.004,    0.050,    0.103
            NOx,    0.000,    0.000,    0.096,    0.069,    0.027,    0.000,    0.009,    0.057,    0.147
            VOC,    0.008,    0.000,    0.052,    0.044,    0.014,    0.000,    0.010,    0.099,    0.127
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.327,    0.411,    0.525
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.096,    0.143,    0.172
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.217,    0.195,    0.292
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.007,    0.000,    0.007
