# Species,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
            CO2,    2.058,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    2.058
            CH4,    0.018,    0.540,    0.304,    0.179,    0.088,    0.050,   -0.003,    0.018,    1.194
            N2O,    0.000,    0.210,   -0.036,    0.039,   -0.013,    0.000,   -0.002,    0.041,    0.239
             HC,    0.000,    0.410,   -0.051,   -0.144,   -0.018,    0.000,   -0.008,   -0.017,    0.172
            NOx,    0.000,    0.000,   -0.380,    0.256,   -0.119,    0.000,   -0.009,   -0.014,   -0.266
            VOC,    0.069,    0.000,    0.162,    0.140,    0.062,    0.000,   -0.003,    0.009,    0.440
            SO2,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.234,   -0.673,   -0.908
             OC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.072,   -0.131,   -0.203
             BC,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.145,   -0.036,    0.109
            NH3,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.034,    0.000,   -0.034
