# Experiment,CO2,GHG,CH4_lifetime,O3,O3_prime,Strat_H2O,Aerosol,Cloud,Total
CH4,0.002105889183890948,0.06713431160323605,0.09064135337397441,0.028527553,0.02249493345788194,0.05,0.004555217,0.092580961,0.1964506902360008
N2O,0.0,0.026607944174173823,0.025351419504923207,0.012021466,0.0028738039190987037,,0.004189935,0.042168972,0.058037263761262614
HC,6.370364880436282e-06,0.05558000000000001,0.028984518468961183,0.060436309,0.004047182689440454,,0.004085034,0.049553562,0.10275992634091481
NOx,0.0,0.0,0.09564930552532143,0.068652438,0.026730972901481943,,0.009416298,0.057188043,0.1469895358618153
VOC,0.008338878977189155,0.0,0.05243000581169203,0.044426977,0.013930582435994791,,0.010498677,0.098979375,0.12700860620240223
SO2,0.0,0.0,0.0,0.0,0.0,,0.3273769403041379,0.41072477500690396,0.5252337592418931
OC,0.0,0.0,0.0,0.0,0.0,,0.09571076730378862,0.14309147713056103,0.17215028842638005
BC,0.0,0.0,0.0,0.0,0.0,,0.2167959135675763,0.1953038714914385,0.2917945687622447
NH3,0.0,0.0,0.0,0.0,0.0,,0.007053370938212207,0.0,0.007053370938212207
CO2,0.20990395493643424,,,,,,,,0.20990395493643424
